epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,5915.88,1.39249,0.89835,0.90685,0.81204,0.69691,0.75305,0.54674,1.38315,0.85813,0.92007,8.62308e-05,8.62308e-05,8.62308e-05
165,5951.97,1.40926,0.91114,0.90562,0.83241,0.68687,0.74867,0.54748,1.38303,0.85758,0.91945,8.36923e-05,8.36923e-05,8.36923e-05
166,5987.12,1.39306,0.90025,0.90381,0.83896,0.68942,0.75158,0.54628,1.38346,0.85584,0.91957,8.11538e-05,8.11538e-05,8.11538e-05
167,6023.03,1.39467,0.89647,0.90405,0.81255,0.6987,0.75498,0.54988,1.37899,0.85669,0.91963,7.86154e-05,7.86154e-05,7.86154e-05
168,6058.69,1.38185,0.89,0.90312,0.84137,0.69919,0.75751,0.54976,1.38827,0.85411,0.91969,7.60769e-05,7.60769e-05,7.60769e-05
169,6094.72,1.37798,0.8863,0.90067,0.83106,0.70167,0.75858,0.55342,1.37654,0.84921,0.91959,7.35385e-05,7.35385e-05,7.35385e-05
170,6129.75,1.39205,0.89855,0.90346,0.83635,0.69418,0.75566,0.55079,1.37445,0.84757,0.91707,7.1e-05,7.1e-05,7.1e-05
171,6167.22,1.39303,0.89858,0.89877,0.81237,0.6992,0.75272,0.54738,1.37936,0.85205,0.91809,6.84615e-05,6.84615e-05,6.84615e-05
172,6202.54,1.38084,0.89398,0.90335,0.82498,0.70172,0.75977,0.55122,1.37435,0.84915,0.91714,6.59231e-05,6.59231e-05,6.59231e-05
173,6238.03,1.40985,0.91379,0.90629,0.82047,0.69395,0.7532,0.54968,1.37678,0.8538,0.91805,6.33846e-05,6.33846e-05,6.33846e-05
174,6273.31,1.38241,0.89006,0.90468,0.82982,0.69904,0.75672,0.55209,1.36469,0.84192,0.91571,6.08462e-05,6.08462e-05,6.08462e-05
175,6309.05,1.37095,0.8831,0.89794,0.82523,0.69928,0.75557,0.55619,1.36309,0.84266,0.91493,5.83077e-05,5.83077e-05,5.83077e-05
